Page Number,Lesson Number,Ex/Voc,Sing. / Perf.,Dual / Imperf.,Plural / Verbal N.,English Translations,Verb Form,Part of Speech,Exercise Number,Arabic Text,Quran Chapter/Surah,Quran Verse/Ayah,Warning
13,1,Vocabulary,اَللّٰهُ,,,God,,noun,,,,,
13,1,Vocabulary,إِلٰهٌ,,آلِهَةٌ,a god,,noun,,,,,
13,1,Vocabulary,أَجْرٌ,,أُجُورٌ,reward,,noun,,,,,
13,1,Vocabulary,آيَةٌ,,آيَاتٌ,"sign, verse",,noun,,,,,
13,1,Vocabulary,بَلَدٌ,,بِلَادٌ,town,,noun,,,,,
13,1,Vocabulary,رَسُولٌ,,رُسُلٌ,messenger,,noun,,,,,
13,1,Vocabulary,رَحْمَةٌ,,,mercy,,noun,,,,,
13,1,Vocabulary,عَذَابٌ,,,punishment,,noun,,,,,
13,1,Vocabulary,فَوْزٌ,,,victory,,noun,,,,,
13,1,Vocabulary,قُرْآنٌ,,,"Qur’ān, recitation",,noun,,,,,
13,1,Vocabulary,كِتَابٌ,,كُتُبٌ,"scripture, document, book",,noun,,,,,
13,1,Vocabulary,خَلِيفَةٌ,,خُلَفَاءُ,"successor, viceroy, caliph",,noun,,,,,
13,1,Vocabulary,أَرْضٌ,,,(f.) earth,,noun,,,,,
13,1,Vocabulary,أُمٌّ,,أُمَّهَاتٌ,mother,,noun,,,,,
13,1,Vocabulary,يَوْمٌ,,أَيَّامٌ,day,,noun,,,,,
13,1,Vocabulary,أَمِينٌ,,,"faithful, secure",,noun,,,,,
13,1,Vocabulary,آخِرٌ,,,"last, [next]",,noun,,,,,
13,1,Vocabulary,شَدِيدٌ,,شِدَادٌ,"strong, severe",,noun,,,,,
13,1,Vocabulary,عَزِيزٌ,,,mighty,,noun,,,,,
14,1,Vocabulary,عَظِيمٌ,,,"great, mighty",,noun,,,,,
14,1,Vocabulary,قَوِيٌّ,,,strong,,noun,,,,,
14,1,Vocabulary,كَبِيرٌ,,,"big, great",,noun,,,,,
14,1,Vocabulary,كَرِيمٌ,,كِرَامٌ,"noble, generous",,noun,,,,,
14,1,Vocabulary,مَجِيدٌ,,,glorious,,noun,,,,,
14,1,Vocabulary,وَاسِعٌ,,,"wide, ample",,noun,,,,,
14,1,Vocabulary,مُبِينٌ,,,clear,,noun,,,,,
14,1,Vocabulary,أَوَّلُ,,أَوَّلُونَ,first,,noun,,,,,
14,1,Vocabulary,أُولَى,,,(f.) first,,noun,,,,,
14,1,Vocabulary,آخَرُ,,آخَرُونَ,other,,noun,,,,,
14,1,Vocabulary,أُخْرَىٰ,,أُخَرُ,(f.) other,,noun,,,,,CHECKED UP TO HERE
19,2,Vocabulary,رَجُلٌ,,رِجَالٌ,man,,noun,,,,,
19,2,Vocabulary,سَمَاءٌ,,سَمَاوَاتٌ,"heaven, sky",,noun,,,,,
19,2,Vocabulary,عَبْدٌ,,عِبَادٌ,"servant, slave",,noun,,,,,
19,2,Vocabulary,قَرْنٌ,,قُرُونٌ,generation [horn],,noun,,,,,
19,2,Vocabulary,قَرْيَةٌ,,قُرًى,"settlement, village",,noun,,,,,
19,2,Vocabulary,قَوْمٌ,,أَقْوَامٌ,people,,noun,,,,,
19,2,Vocabulary,مَنْفَعَةٌ,,مَنَافِعُ,benefit,,noun,,,,,
19,2,Vocabulary,كَافِرٌ,,كَافِرُونَ,"unbeliever, ungrateful",,noun,,,,,
19,2,Vocabulary,مُؤْمِنٌ,,مُؤْمِنُونَ,believer,,noun,,,,,
19,2,Vocabulary,ظَالِمٌ,,ظَالِمُونَ,wrongdoer,,noun,,,,,
19,2,Vocabulary,أَعْجَمِيٌّ,,أَعْجَمِيُّونَ,Foreign,,noun,,,,,
19,2,Vocabulary,عَرَبِيٌّ,,عُرْبٌ,"Arab, Arabic",,noun,,,,,
19,2,Vocabulary,مُسْلِمٌ,,مُسْلِمُونَ,Muslim,,noun,,,,,
19,2,Vocabulary,نَصْرَانِيٌّ,,نَصَارَىٰ,Christian,,noun,,,,,
19,2,Vocabulary,يَهُودِيٌّ,,يَهُودٌ,"Jew, Jewish",,noun,,,,,
