Page Number,Lesson Number,Ex/Voc,Sing. / Perf.,Dual / Imperf.,Plural / Verbal N.,English Translations Singular Perfect,English Translations Dual Imperfect,English Translations Plural Verbal Noun,Verb Form,Part of Speech,Triliteral Root,Anki_ID,Usage Notes etc,Proofread
13,1,Vocabulary,ٱللّٰهُ,,,God,,,,noun,,1-v-1,,checked against textbook
13,1,Vocabulary,إِلَٰهٌ,,آلِهَةٌ,god,,gods,,noun,,1-v-2,,checked against textbook
13,1,Vocabulary,أَجْرٌ,,أُجُورٌ,reward,,rewards,,noun,,1-v-3,,checked against textbook
13,1,Vocabulary,آيَةٌ,,آيَاتٌ,"sign, verse",,"signs, verses",,noun,,1-v-4,,checked against textbook
13,1,Vocabulary,بَلَدٌ,,بِلَادٌ,town,,towns,,noun,,1-v-5,,checked against textbook
13,1,Vocabulary,رَسُولٌ,,رُسُلٌ,messenger,,messengers,,noun,,1-v-6,,checked against textbook
13,1,Vocabulary,رَحْمَةٌ,,,mercy,,,,noun,,1-v-7,,checked against textbook
13,1,Vocabulary,عَذَابٌ,,,punishment,,,,noun,,1-v-8,,checked against textbook
13,1,Vocabulary,فَوْزٌ,,,victory,,,,noun,,1-v-9,,checked against textbook
13,1,Vocabulary,قُرْآنٌ,,,recitation,,,,noun,,1-v-10,,checked against textbook
13,1,Vocabulary,كِتَابٌ,,كُتُبٌ,"scripture, document, book",,"scriptures, documents, books",,noun,,1-v-11,,checked against textbook
13,1,Vocabulary,خَلِيفَةٌ,,خُلَفَاءُ,"successor, viceroy, caliph",,"successors, viceroys, caliphs",,noun,,1-v-12,,checked against textbook
13,1,Vocabulary,أَرْضٌ,,,earth (f.),,,,noun,,1-v-13,,checked against textbook
13,1,Vocabulary,أُمٌّ,,أُمَّهَاتٌ,mother,,mothers,,noun,,1-v-14,,checked against textbook
13,1,Vocabulary,يَوْمٌ,,أَيَّامٌ,day,,days,,noun,,1-v-15,,checked against textbook
13,1,Vocabulary,أَمِينٌ,,,"faithful, secure",,,,noun,,1-v-16,,checked against textbook
13,1,Vocabulary,آخِرٌ,,,"last, [next]",,,,noun,,1-v-17,,checked against textbook
13,1,Vocabulary,شَدِيدٌ,,شِدَادٌ,"strong, severe",,,,noun,,1-v-18,,checked against textbook
13,1,Vocabulary,عَزِيزٌ,,,mighty,,,,noun,,1-v-19,,checked against textbook
14,1,Vocabulary,عَظِيمٌ,,عِظَامٌ,"great, mighty",,"great, mighty",,noun,,1-v-20,,checked against textbook
14,1,Vocabulary,قَوِيٌّ,,قُوِيٌّ,strong,,strong,,noun,,1-v-21,,checked against textbook
14,1,Vocabulary,كَبِيرٌ,,كِبَارٌ,"big, great",,"big, great",,noun,,1-v-22,,checked against textbook
14,1,Vocabulary,كَرِيمٌ,,كِرَامٌ,"noble, generous",,"noble, generous",,noun,,1-v-23,,checked against textbook
14,1,Vocabulary,مَجِيدٌ,,مَجِيدُونَ,glorious,,glorious,,noun,,1-v-24,,checked against textbook
14,1,Vocabulary,وَاسِعٌ,,وَاسِعُونَ,"wide, ample",,"wide, ample",,noun,,1-v-25,,checked against textbook
14,1,Vocabulary,مُبِينٌ,,مُبِينُونَ,clear,,clear,,noun,,1-v-26,,checked against textbook
14,1,Vocabulary,أَوَّلُ,,أَوَّلُونَ,first,,first,,noun,,1-v-27,,checked against textbook
14,1,Vocabulary,أُولَى,,أُوَلَيات,first (f.),,first (f.),,noun,,1-v-28,,checked against textbook
14,1,Vocabulary,آخَرُ,,آخَرُونَ,other,,other,,noun,,1-v-29,,checked against textbook
14,1,Vocabulary,أُخْرَى,,أُخَرُ,other (f.),,other (f.),,noun,,1-v-30,,checked against textbook
19,2,Vocabulary,رَجُلٌ,,رِجَالٌ,man,,men,,noun,,2-v-1,,checked against textbook
19,2,Vocabulary,سَمَاءٌ,,سَمَاوَاتٌ,"heaven, sky",,"heavens, skies",,noun,,2-v-2,,checked against textbook
19,2,Vocabulary,عَبْدٌ,,عِبَادٌ,"servant, slave",,"servants, slaves",,noun,,2-v-3,,checked against textbook
19,2,Vocabulary,قَرْنٌ,,قُرُونٌ,"generation, horn",,"generations, horns",,noun,,2-v-4,,checked against textbook
19,2,Vocabulary,قَرْيَةٌ,,قُرًى,"settlement, village",,"settlements, villages",,noun,,2-v-5,,checked against textbook
19,2,Vocabulary,قَوْمٌ,,أَقْوَامٌ,people,,peoples,,noun,,2-v-6,,checked against textbook
19,2,Vocabulary,مَنْفَعَةٌ,,مَنَافِعُ,benefit,,benefits,,noun,,2-v-7,,checked against textbook
19,2,Vocabulary,كَافِرٌ,,كَافِرُونَ,"unbeliever, ungrateful",,"unbelievers, ungrateful",,noun,,2-v-8,,checked against textbook
19,2,Vocabulary,مُؤْمِنٌ,,مُؤْمِنُونَ,believer,,believers,,noun,,2-v-9,,checked against textbook
19,2,Vocabulary,ظَالِمٌ,,ظَالِمُونَ,wrongdoer,,wrongdoers,,noun,,2-v-10,,checked against textbook
19,2,Vocabulary,أَعْجَمِيٌّ,,أَعْجَمِيُّونَ,foreign,,foreign,,noun,,2-v-11,,checked against textbook
19,2,Vocabulary,عَرَبِيٌّ,,عَرَبٌ,"Arab, Arabic",,Arabs,,noun,,2-v-12,,checked against textbook
19,2,Vocabulary,مُسْلِمٌ,,مُسْلِمُونَ,Muslim,,Muslims,,noun,,2-v-13,,checked against textbook
19,2,Vocabulary,نَصْرَانِيٌّ,,نَصَارَى,Christian,,Christians,,noun,,2-v-14,,checked against textbook
19,2,Vocabulary,يَهُودِيٌّ,,يَهُودٌ,"Jew, Jewish",,Jews,,noun,,2-v-15,,checked against textbook
20,2,Vocabulary,سَنَةٌ,,سِنُونَ,year,,years,,noun,,2-v-16,,checked against textbook
20,2,Vocabulary,فَاكِهَةٌ,,فَوَاكِهُ,fruit,,fruits,,noun,,2-v-17,,checked against textbook
20,2,Vocabulary,كَثِيرٌ,,كَثِيرُونَ,many,,many,,noun,,2-v-18,,checked against textbook
20,2,Vocabulary,,,كَثِيرٌ,,,"many, much",,noun,,2-v-18.2,,checked against textbook
20,2,Vocabulary,تَوَّابٌ,,تَوَّابُونَ,relenting,,repenting,,noun,,2-v-19,,checked against textbook
20,2,Vocabulary,مُكْرَمٌ,,مُكْرَمُونَ,honoured,,honoured,,noun,,2-v-20,,checked against textbook
27,3,Vocabulary,جَنَّةٌ,,جَنَّاتٌ,garden,,gardens,,noun,,3-v-1,,
27,3,Vocabulary,جَارِيَةٌ,,جَوَارٍ,"ship, young woman",,"ships, young women",,noun,,3-v-2,,
27,3,Vocabulary,حَقٌّ,,حُقُوقٌ,truth; true,,,,noun,,3-v-3,,
27,3,Vocabulary,فِتْنَةٌ,,فِتَنٌ,"affliction, temptation; tempting, afflicting, stirring up",,"afflictions, temptations",,noun,,3-v-4,,
27,3,Vocabulary,بُشْرَى,,,good tidings,,,,noun,,3-v-5,,
27,3,Vocabulary,ٱلدُّنْيَا,,,world,,,,noun,,3-v-6,,checked against textbook
27,3,Vocabulary,وَادٍ,,,valley,,,,noun,,3-v-7,,
27,3,Vocabulary,عَصًا,,,"stick, staff",,,,noun,,3-v-8,,
27,3,Vocabulary,نَذِيرٌ,,نُذُرٌ,warner,,warners,,noun,,3-v-9,,
27,3,Vocabulary,هُدًى,,,guidance,,,,noun,,3-v-10,,
27,3,Vocabulary,مَكَّةُ,,,Mecca,,,,noun,,3-v-11,,
27,3,Vocabulary,فَقِيرٌ,,فُقَرَاءُ,poor,,poor,,noun,,3-v-12,,
27,3,Vocabulary,أَسْوَدُ,,سُودٌ,black,,black,,noun,,3-v-13,,checked against textbook
27,3,Vocabulary,سَوْدَاءُ,,,black (f.),,,,noun,,3-v-14,,checked against textbook
27,3,Vocabulary,أَبْيَضُ,,بِيضٌ,white,,white,,noun,,3-v-15,,checked against textbook
27,3,Vocabulary,بَيْضَاءُ,,,white (f.),,,,noun,,3-v-16,,checked against textbook
27,3,Vocabulary,عَالٍ,,,"high, lofty",,,,noun,,3-v-17,,checked against textbook
28,3,Vocabulary,عَالِيَةٌ,,,"high, lofty (f.)",,,,noun,,3-v-18,,checked against textbook
28,3,Vocabulary,لَطِيفٌ,,,gentle,,,,noun,,3-v-19,,
28,3,Vocabulary,جَاهِلٌ,,جَاهِلُونَ,ignorant,,ignorant,,noun,,3-v-20,,checked against textbook
32,4,Vocabulary,نَارٌ,,نِيرَانٌ,"fire, Hell",,"fires, Hells",,noun,,4-v-1,,
32,4,Vocabulary,صَدَقَةٌ,,صَدَقَاتٌ,alm,,alms,,noun,,4-v-2,,
32,4,Vocabulary,عُرْفٌ,,أَعْرَافٌ,"crest, ridge, height",,"crests, ridges, heights",,noun,,4-v-3,,
32,4,Vocabulary,سَبِيلٌ,,سُبُلٌ,"way, road, path",,"ways, roads, paths",,noun,,4-v-4,,
32,4,Vocabulary,سَفَرٌ,,أَسْفَارٌ,journey,,journeys,,noun,,4-v-5,,checked against textbook
32,4,Vocabulary,ضَلَالٌ,,,"straying, error",,,,noun,,4-v-6,,
32,4,Vocabulary,فَسَادٌ,,,"mischief, corruption",,,,noun,,4-v-7,,
32,4,Vocabulary,حَمْدٌ,,,praise,,,,noun,,4-v-8,,
32,4,Vocabulary,أَهْلٌ,,أَهْلُونَ,"people, family, folk",,"peoples, families, folks",,noun,,4-v-9,,
32,4,Vocabulary,شَمْسٌ,,,sun,,,,noun,,4-v-10,,
32,4,Vocabulary,رَحِيمٌ,,,compassionate,,,,noun,,4-v-11,,
32,4,Vocabulary,صَابِرٌ,,,"patient, steadfast",,,,noun,,4-v-12,,
